appid,name,type,is_free,short_description,detailed_description,developers,publishers,price,genres,categories,release_date,platforms,metacritic_score,recommendations
3452,Typer Shark! Deluxe Free Demo,demo,True,,,"PopCap Games, Inc.",,Free,Casual,"Single-player, Game demo",,"{'windows': True, 'mac': False, 'linux': False}",,
3460,Talismania Deluxe,game,False,"King Midas accidentally turned his own daughter into gold! Use his special powers to perform acts of goodness instead of greed. Help Midas connect magical talismans to release gold coins and help the poor. If you help enough people, Zeus will change Midas' daughter back to her old self.","King Midas accidentally turned his own daughter into gold! And the only hope he has to change her back is to use his special powers to perform acts of goodness instead of greed. That's where you come in. Help Midas connect magical talismans to release gold coins and help the poor. If you help enough people, the god Zeus will change Midas' daughter back to her old self.","PopCap Games, Inc.","PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Aug 30, 2006","{'windows': True, 'mac': False, 'linux': False}",,
3462,Talismania Deluxe Free Demo,demo,True,,,"PopCap Games, Inc.",,Free,Casual,"Single-player, Game demo",,"{'windows': True, 'mac': False, 'linux': False}",,
3480,Peggle Deluxe,game,False,"Take your best shot with energizing arcade fun! Aim, shoot, clear the orange pegs, then sit back and cheer as 10 whimsical teachers guide you to Peggle greatness.","Take your best shot with energizing arcade fun! Aim, shoot, clear the orange pegs, then sit back and cheer as 10 whimsical teachers guide you to Peggle greatness. Conquer 55 fanciful levels with 10 mystical Magic Powers, racking up bonus points and shots you'll smile about for weeks. Face off against your friends in Duel Mode, or tackle 75 extra-tricky challenges. It's luck and skill and joyous thrills, and amidst all this fevered action only one question remains: <br><br>Can you become a Peggle Master?<br>					<ul class=""bb_ul""><li>Wield 10 miraculous Magic Powers!<br>					</li><li>Master 55 levels of bouncy delight!<br>					</li><li>Conquer 75 Master challenges!<br>					</li><li>Play friends or the computer in Duel Mode!<br>					</li><li>Revel in breathtaking artwork and music!<br>					</li><li>Replay and save your best shots!<br>					</li></ul>","PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",$4.99,Casual,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Mar 6, 2007","{'windows': True, 'mac': True, 'linux': False}",,9854.0
3482,Peggle Deluxe Free Demo,demo,True,,,"PopCap Games, Inc.",,Free,Casual,"Single-player, Game demo",,"{'windows': True, 'mac': False, 'linux': False}",,
3483,Peggle Extreme,game,True,"Peggle Extreme delivers fast-paced puzzle action that combines elements of pinball and pachinko to create a truly unique game experience. Take your best shot with energizing arcade fun, now exclusively themed with art and sounds from Half-Life: Episode 2, Portal, and Team Fortress 2.","Mayday! The Peggle Institute has been invaded by a host of other-worldly creatures. It's up to you, Peggle Master, to report to duty and shoot and bounce the critters to oblivion. Take your best shot with energizing arcade fun, now exclusively themed with art and sounds from The Orange Box! <br><br>Peggle Extreme delivers fast-paced puzzle action that combines elements of pinball and pachinko to create a truly unique game experience. As with the original Peggle, Peggle Extreme requires players to fire a metallic silver ball from the top of the screen, relying on gravity to propel the ball downwards while ricocheting off orange and blue &quot;pegs&quot;. The goal is to clear all the orange pegs from the screen before running out of balls. A moving &quot;bucket&quot; at the bottom of the screen offers free balls, while green power-up and purple &quot;bonus multiplier&quot; pegs provide additional twists. Peggle Extreme features one power-up in the form of Bjorn the Unicorn, whose special takes the form of a &quot;super-guide&quot; sighting capability which enables players to see where there next shot will go beyond one or two initial bounces.<br><br>					<ul class=""bb_ul""><li>Master 10 levels of &quot;Extreme&quot; challenges<br>					</li><li>Conquer 5 Master challenges<br>					</li><li>Play against a friend or the computer in Duel Mode<br>					</li><li>Revel in breathtaking artwork and sounds from Half-Life: Episode 2, Portal, and Team Fortress 2<br>					</li><li>Replay and save your best shots</li></ul>","PopCap Games, Inc.",Electronic Arts,Free,"Casual, Free To Play","Single-player, Remote Play on Phone, Remote Play on Tablet","Sep 11, 2007","{'windows': True, 'mac': False, 'linux': False}",,
3490,Venice Deluxe,game,False,"Venice is sinking and only you can save it! From the floating fortress of your golden gondola, you'll restore the city by returning its lost treasures. Sling costly coins, launch lovely lyres and ricochet ruby rings into the corresponding spaces overhead.","Venice is sinking and only you can save it! From the floating fortress of your golden gondola, you'll restore the city by returning its lost treasures. Sling costly coins, launch lovely lyres and ricochet ruby rings into the corresponding spaces overhead. Use your arsenal of special shots to create cascading combos and earn bonus points along the way. But beware  shelves, chutes, swirlies and other traps will make things tricky, so you'll need power-ups like Wild Shot and Wings to help you sail through the levels. So grab your gondola and get ready  with a majestic soundtrack, gloriously ornate artwork and four enduring game modes, Venice is a classic test of wits, will and skill!<br><ul class=""bb_ul""><li>Dive into 4 game modes: Journey, Flood, Survival and Trick Shots<br></li><li>Save 72 buildings over 8 neighborhoods<br></li><li>Wield astonishing power-ups like Wild Shot and Wings<br></li><li>Overcome obstacles like tricky chutes, sinister swirlies and more<br></li><li>Revel in ornate art, mellifluous music and spectacular effects<br></li><li>Earn bonus points and power-ups with terrific tumbles and cascading combos<br></li><li>Save your high scores for pride and posterity!</li></ul>","Retro64, Inc.","PopCap Games, Inc.",Free,Casual,"Single-player, Family Sharing","Jun 25, 2007","{'windows': True, 'mac': False, 'linux': False}",,
3500,Mystery P.I.™ - The Lottery Ticket,game,False,You are the world-famous Mystery P.I. and you've been hired by Grandma Rose to find her $488 million dollar winning lottery ticket that has gone missing! Retrace Grandma's steps to collect clues by finding hidden objects and solving puzzles. Search the city for the clues and piece them together to solve the case.,"You are the world-famous Mystery P.I. and you've been hired by Grandma Rose to find her $488 million dollar winning lottery ticket that has gone missing! Retrace Grandma's steps to collect clues by finding hidden objects and solving puzzles. Search the city for the clues and piece them together to solve the case. Grandma Rose has agreed to pay you $20 million if you find the ticket before the deadline. Hurry, you only have 12 hours to find the ticket!<br />
					Investigate 20 unique locations to find over 2100 cleverly hidden objects! As your investigation skills improve your P.I. rank increases -- strive for a &quot;Perfect Investigation&quot; to get big bonus points!<br />
					Two fun ways to play: In Find the Ticket mode you must locate the missing ticket before the deadline. Unlock Unlimited Seek &amp; Find game mode to search for all the hidden objects with no time limits -- every scene, every item! Collect all 20 KEYS while finding the Ticket to unlock a fun bonus location hidden in the city.",SpinTop Games,"PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Oct 16, 2007","{'windows': True, 'mac': False, 'linux': False}",,
3502,Mystery P.I.™ - The Lottery Ticket Free Demo,demo,True,,,SpinTop Games,,Free,Casual,"Single-player, Game demo",,"{'windows': True, 'mac': False, 'linux': False}",,
3510,Amazing Adventures The Lost Tomb™,game,False,You are an adventure seeker who travels the world in search of forgotten &amp; lost treasures. Search for hidden objects and circumvent unique puzzle traps to recover the most sought after treasures the world has ever known. A newly-discovered fragment of an ancient map is believed to reveal the location of the Lost Tomb of Egypt.,"You are an adventure seeker who travels the world in search of forgotten &amp; lost treasures. Search for hidden objects and circumvent unique puzzle traps to recover the most sought after treasures the world has ever known.<br>					A newly-discovered fragment of an ancient map is believed to reveal the location of the Lost Tomb of Egypt. Under the direction of the Museum, you must immediately begin your adventure to locate the Lost Tomb and the treasures locked within! Complete over 100 levels by finding hidden objects and circumventing unique puzzle traps. Good luck on your adventure!<br>					<ul class=""bb_ul""><li>Find over 2000 hidden objects in over 100 levels.<br>					</li><li>Explore 22 unique Egyptian locations.<br>					</li><li>Circumvent 7 unique mini-game puzzle traps to continue your missions.<br>					</li><li>Two game modes: &quot;Find the Lost Tomb&quot; and &quot;Secret Game&quot; mode.<br>					</li><li>Find the hidden Scarabs to unlock Secret Game mode and a bonus Egyptian location.<br>					</li><li>Strive for the Perfect Search Bonus by not using the 'Hint' button.<br>					</li><li>Play against the clock or in Relaxed Mode with no time limits.<br>					</li><li>Unlock interesting facts about Egypt in your journal.</li></ul>",SpinTop Games,"PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Dec 13, 2007","{'windows': True, 'mac': False, 'linux': False}",,
3512,Amazing Adventures The Lost Tomb™ Demo,demo,True,,,SpinTop Games,,Free,Casual,"Single-player, Game demo",,"{'windows': True, 'mac': False, 'linux': False}",,
3520,Mystery P.I.™ - The Vegas Heist,game,False,The heist of the century has just happened! You've been hired by the casino to find &amp; return the stolen money before its grand opening in 16 hours. Search for over 2300 cleverly hidden objects in 25 intriguing locations to solve the Vegas Heist. Two addictive ways to play: Vegas Heist mode and Unlimited Seek &amp; Find mode.,"The heist of the century has just happened!  You've been hired by the casino to find &amp; return the stolen money before its grand opening in 16 hours. Search for over 2300 cleverly hidden objects in 25 intriguing locations to solve the Vegas Heist.<br>					Two addictive ways to play: Vegas Heist mode and Unlimited Seek &amp; Find mode. Collect all the hidden Keys and Poker Chips to unlock the bonus mode.  Find the clues, solve the Vegas Heist!<br>					<ul class=""bb_ul""><li>Find over 2300 cleverly hidden objects<br>					</li><li>Investigate 25 intriguing Vegas locations to locate the stolen money<br>					</li><li>Two fun game modes: 'Solve the Vegas Heist' and 'Unlimited Seek &amp; Find'<br>					</li><li>Play 5 unique mini-games: Word Search, Tile Rotation, Tile Swap, Jigsaw and a unique crime solving puzzle</li></ul>",SpinTop Games,"PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Jun 5, 2008","{'windows': True, 'mac': False, 'linux': False}",,
3522,Mystery P.I.™ - The Vegas Heist Free Demo,demo,True,,,SpinTop Games,,Free,Casual,"Single-player, Game demo","Jun 5, 2008","{'windows': True, 'mac': False, 'linux': False}",,
3530,Amazing Adventures Around the World,game,False,"Pieces of an ancient stone tablet have started turning up around the globe and the Museum needs your help to locate the pieces and find the most expensive gem ever known...the World Diamond. Under the direction of the Museum, you must immediately begin your global seek &amp; find adventure.","Pieces of an ancient stone tablet have started turning up around the globe and the Museum needs your help to locate the pieces and find the most expensive gem ever known...the World Diamond.  Under the direction of the Museum, you must immediately begin your global seek &amp; find adventure.  Complete over 100 levels by finding hidden objects and circumventing unique puzzle traps.<br>                    Travel to 25 unique &amp; exotic locations around the world finding over 2100 hidden objects in 3 different game modes: Find the World Diamond story mode, plus two Unlimited Play game modes which are unlocked after you have found the World Diamond or have found all of the hidden Gems in each location.  Take on 8 different types of mini-game puzzles including place-the-differences and spot-the-differences.  Good luck on your around the world adventure!<br>                    <ul class=""bb_ul""><li>Find over 2100 Hidden Objects in over 100 levels.<br>                    </li><li>Explore 25 exotic &amp; worldly locations.<br>                    </li><li>Play 8 unique mini-game puzzle traps including Spot-the-Differences, Place-the-differences, and many more.<br>                    </li><li>Three game modes: Find the World Diamond, Unlimited Seek &amp; Find, and Unlimited Spot the Differences.<br>                    </li><li>Find the hidden Gems to unlock the Unlimited game modes.<br>                    </li><li>Strive for a Perfect Search bonus by not using Hint.<br>                    </li><li>Play against the clock or in Relaxed Mode with no time limits.<br>                    </li><li>Unlock interesting facts in your journal as you travel the globe.<br>                    </li></ul>",SpinTop Games,"PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Apr 15, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3532,Amazing Adventures Around the World Demo,demo,True,,,SpinTop Games,,Free,Casual,"Single-player, Game demo","Apr 15, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3540,Peggle™ Nights,game,False,"Join the Peggle Masters on a dreamtime adventure of alter egos and peg-tastic action. Stay up late to aim, shoot and clear orange pegs, and bask in Extreme Fever glory under the silver moon.","The sun has set at the Peggle Institute, but the bouncy delight has just begun! Join the Peggle Masters on a dreamtime adventure of alter egos and peg-tastic action. Stay up late to aim, shoot and clear orange pegs, and bask in Extreme Fever glory under the silver moon. <br><br>Then, put your Peggle skills to the ultimate test in Challenge mode. If you can master all that fevered action, play to your heart's content with Duel mode and Quick Play. Plus, you can stock your Trophy Room and revel in clickable replays for even more rebounding joy!        <br>            <br>					<ul class=""bb_ul""><li>Explore all 60 levels in Adventure mode                    <br>					</li><li>Meet a new Peggle Master and learn a new Magic Power                    <br>					</li><li>Test your skills in 60 challenges                    <br>					</li><li>Unlock Duel mode to compete against friends and the computer                    <br>					</li><li>Celebrate your Peggle prowess with clickable replays and a Trophy Room!                    </li></ul>","PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",$4.99,Casual,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Oct 15, 2008","{'windows': True, 'mac': True, 'linux': False}",76.0,2419.0
3560,Bejeweled Twist,game,False,"Get set for a vivid sensory rush as you spin and match explosive gems for shockwaves of fun. Rotate jewels freely to set up electrifying combos, outwit surprising obstacles like Locks and Bombs, and create high-voltage Flame and Lightning gems.","Spin, match, explode... WOW! It's a brilliant new way to play Bejeweled! Get set for a vivid sensory rush as you spin and match explosive gems for shockwaves of fun. Rotate jewels freely to set up electrifying combos, outwit surprising obstacles like Locks and Bombs, and create high-voltage Flame and Lightning gems. When you need to dial up the intensity or fine-tune your skills, turn to Challenge mode or five-minute Blitz. And if relaxing is more your style, kick up your feet with stress-free Zen. No matter the mode, you'll discover new strategies, improve your moves, and find endless ways to win!                    <br>					<ul class=""bb_ul""><li>Use the revolutionary Gem Rotator to move gems around and make matches anywhere on the board                     <br>					</li><li>Relax, rev up, refocus or recharge in four game modes  Classic, Zen, Challenge and Blitz                    <br>					</li><li>Clear away Locks and Bombs for magnificent bonuses                    <br>					</li><li>Create Flame and Lightning power gems, then blast them to smithereens just because you can                    <br>					</li><li>Relive your best moves with Instant Replay and see where you rank on the high-score list                    <br>					</li><li>Start playing quickly and easily with in-game tips                    <br>					</li><li>Enjoy eye-popping graphics and special effects... you've never seen Bejeweled like this before!                    </li></ul>","PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",$4.99,"Casual, Strategy","Single-player, Family Sharing","Nov 18, 2008","{'windows': True, 'mac': False, 'linux': False}",78.0,519.0
3562,Bejeweled Twist Free Demo,demo,True,,,"PopCap Games, Inc.",,Free,Casual,"Single-player, Game demo","Nov 18, 2008","{'windows': True, 'mac': False, 'linux': False}",78.0,
3570,Mystery P.I.™ - The New York Fortune,game,False,A fun loving &amp; eccentric New York billionaire has hidden the will to his vast fortune somewhere in New York City! His family only has 17 hours to locate the will or their Grandpa's entire estate will be given to his cat &amp; dog. You are the world famous Mystery P.I.,"A fun loving &amp; eccentric New York billionaire has hidden the will to his vast fortune somewhere in New York City!  His family only has 17 hours to locate the will or their Grandpa's entire estate will be given to his cat &amp; dog.                    <br>					You are the world famous Mystery P.I. and the family has hired you to track down the clues hidden all over NYC.  Seek &amp; Find over 2100 hidden objects in 25 amazing NY locations like Times Square, Central Park, Coney Island, the Brooklyn Bridge and many more. If you succeed you will be awarded $25 Million dollars.                    <br>					Three addictive ways to play: In NY Fortune mode you must find the clues to locate the will.  Collect all the Keys &amp; Apples to unlock two Unlimited game modes: Unlock Unlimited Seek &amp; Find and Spot the Differences to find every hidden item in every scene.                    <br>					<ul class=""bb_ul""><li>Find over 2100 cleverly hidden objects.                    <br>					</li><li>Investigate 25 amazing New York locations to find the clues.                    <br>					</li><li>Three fun game modes: 'Find the NY Fortune' and two Unlimited game modes                    <br>					</li><li>Play 5 unique mini-games: Match-3, Word Search, Circle Rotation, Tile Swap, Jigsaw plus a unique final puzzle.                    <br>					</li><li>Locate the secret Keys and Apples to unlock two Unlimited game modes.                    <br>					</li><li>Go for a Perfect Investigation &amp; speed bonuses to become a Master PI.                    </li></ul>",SpinTop Games,"PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Jan 28, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3572,Mystery P.I.™ - The New York Fortune Demo,demo,True,,,SpinTop Games,,Free,Casual,"Single-player, Game demo","Jan 28, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3580,The Wizard's Pen™,game,False,"The Wizard has vanished! The clues to his whereabouts are in his workbook, but all the pages are blank. You'll need the Wizard's magic pen - and your powers of perception - to guess the image on each page. The better your guess, the higher your score, and the closer you are to finding the Wizard.","The Wizard has vanished, and only you can find him in this spellbinding hidden-object adventure! The clues to the Wizard's whereabouts are in his workbook, but all the pages are blank. You'll need his magic pen to uncover and guess the image on each page. The better your guesses, the better your score — and every image you uncover brings you closer to finding the Wizard. Plus, you can play mystical mini-games, unlock special challenges, score bonus points and earn potent potions. It's a unique new twist on the seek-and-find genre that you've gotta try!                    <br>					<ul class=""bb_ul""><li>Discover over 400 pages of hidden objects                    <br>					</li><li>Power up with 10 magic potions                    <br>					</li><li>Unlock 16 unique hidden-object mini-games!                    <br>					</li><li>Open seven sketchbooks with special challenges                    </li></ul>","PopCap Games, Inc.","PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Feb 18, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3582,The Wizard's Pen™ Free Demo,demo,True,,,"PopCap Games, Inc.",,Free,Casual,"Single-player, Game demo","Feb 18, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3590,Plants vs. Zombies GOTY Edition,game,False,"Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks.","<div class=""bb_img_ctn""><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3590/extras/PvZ_background.jpg?t=1738970324"" /></div><br><br>Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks. Obstacles like a setting sun, creeping fog and a swimming pool add to the challenge, and with five game modes to dig into, the fun never dies!<h2 class=""bb_tag"">Features</h2>                    <ul class=""bb_ul""><li>Play five game modes: Adventure, Mini-Games, Puzzle, Survival, plus the stress-free Zen Garden<br>                    </li><li>Conquer all 50 levels of Adventure mode  through day, night, and fog, in a swimming pool and on the rooftop<br>                    </li><li>Battle 26 types of zombies including pole-vaulters, snorkelers and Zomboni drivers<br>                    </li><li>Earn 49 powerful perennials and collect coins to buy a pet snail, power-ups and more!<br>                    </li><li>Open the Almanac to see all the plants and zombies, plus amusing facts and quotes<br>                    </li><li>Browse Crazy Daves shop for special plants and tools to stem any zombie assault<br>                    </li><li>Amazing graphics and soundtrack, plus a bonus music video<br>                    </li><li>Infinite replayability: the game is never the same experience twice!<br>                    </li><li>Unlock all the Steam Achievements<br>                    </li></ul>","PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",$4.99,Strategy,"Single-player, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Family Sharing","May 5, 2009","{'windows': True, 'mac': True, 'linux': False}",87.0,129867.0
3592,Plants vs. Zombies Demo,demo,True,,,"PopCap Games, Inc.",,Free,Strategy,"Single-player, Game demo","May 5, 2009","{'windows': True, 'mac': False, 'linux': False}",87.0,
3600,Escape Rosecliff Island,game,False,An unexpected storm has left you shipwrecked on a mysterious and remote private island. Seek &amp; find cleverly hidden objects and solve puzzles to find a way off the island! Find over 2100 hidden objects in 25 intriguing and mysterious locations to find items that will help you escape!,"An unexpected storm has left you shipwrecked on a mysterious and remote private island. Seek &amp; find cleverly hidden objects and solve puzzles to find a way off the island!  Find over 2100 hidden objects in 25 intriguing and mysterious locations to find items that will help you escape!<br>                    Play 5 different types of mini-game puzzles to collect inventory items from each location that will be needed to help you escape the remote Rosecliff Island.  Play 3 different game modes: Escape the Island, Unlimited Seek &amp; Find, and a Mystery Bonus Game.<br>                    <ul class=""bb_ul""><li>Find over 2100 cleverly hidden objects.<br>                    </li><li>Explore 25 mysterious island locations to find a way off.<br>                    </li><li>Three fun game modes: Escape Mode, Unlimited Seek &amp; Find, &amp; a Mystery Bonus Game.<br>                    </li><li>Play 5 unique mini-games: Match 3, Word Search, Puzzle Rotation, Memory Match, Jigsaw plus a unique final puzzle.<br>                    </li><li>Locate all the hidden locks to reveal two bonus games.<br>                    </li><li>Go for a Perfect Search &amp; back-to-back speed bonuses to beat your high score.<br>                    </li></ul>",SpinTop Games,"PopCap Games, Inc.",$4.99,Casual,"Single-player, Family Sharing","Apr 15, 2009","{'windows': True, 'mac': True, 'linux': False}",,150.0
3602,Escape Rosecliff Island Demo,demo,True,,,SpinTop Games,,Free,Casual,"Single-player, Game demo","Apr 15, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3610,Mystery P.I. - Lost in Los Angeles,game,False,Seek & Find the Hollywood Blockbuster! The only copy of this year's biggest blockbuster movie has gone missing the day before the VIP Hollywood premiere. You are the world famous Mystery P.I. and have been hired to track down and return the lost movie. Seek & Find over 2100 hidden objects in 25 stunning L.A.,"
					<p>Seek & Find the Hollywood Blockbuster! The only copy of this year's biggest blockbuster movie has gone missing the day before the VIP Hollywood premiere.  You are the world famous Mystery P.I. and have been hired to track down and return the lost movie.</p>
					<p>Seek & Find over 2100 hidden objects in 25 stunning L.A. locations like Malibu Beach, Rodeo Drive, Movie Sets, Hollywood hot spots and many more.  Hurry you only have 17 hours to locate the movie or the Hollywood Studio will be ruined.  If you succeed you will be awarded $15 Million dollars.</p>
					<p>Three addictive ways to play: Solve the L.A. Mystery to track down the lost blockbuster movie.  Collect all the special Keys & Film Reels to unlock two Unlimited game modes: Unlimited Seek & Find and a Match 3 Puzzle Game.</p>
					<ul>
					<li>Find over 2100 cleverly hidden objects.</li>
					<li>Investigate 25 amazing L.A. locations to find the clues.</li>
					<li>Three fun game modes: 'Solve the L.A. Mystery' and 2 Unlimited Bonus modes.</li>
					<li>Play 8 different mini-games: Match-3, Word Search, Circle Rotation, Memory Match, Tile Swap, Jigsaw and more.</li>
					<li>Locate the hidden Keys and Film Reels to unlock the Unlimited bonus games.</li>
					<li>Go for a Perfect Investigation & speed bonuses to become a Master PI.</li>
					</ul>",SpinTop Games,,$4.99,Casual,"Single-player, Family Sharing","Jul 27, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3612,Mystery P.I. - Lost in Los Angeles Demo,demo,True,,,SpinTop Games,,Free,Casual,"Single-player, Game demo","Jul 27, 2009","{'windows': True, 'mac': False, 'linux': False}",,
3620,Zuma's Revenge!,game,False,An irresistible force has taken our fearless frog to an island where the puzzle-action of Zuma has evolved in amazing ways… but evil spirits and tenacious tiki bosses rule the land! Survive by firing stone spheres to destroy the deadly stream of balls. Conquer over 60 levels!,"An irresistible force has taken our fearless frog to an island where the ribbeting puzzle-action of Zuma has evolved in amazing ways… but evil spirits and tenacious tiki bosses rule the land!  Survive the ire of the island by firing stone spheres to destroy the deadly stream of balls. Conquer over 60 levels by staying sharp and avoiding hidden traps. Slide and hop for smarter shots; hit targets for exotic bonuses; detonate new power-up balls; battle six imposing tiki bosses and guide your agile amphibian to victory in four all new game modes! Will you succumb to the perilous pitfalls, or can you tame the jungle in this PopCap ball-blasting challenge?<br>					<ul class=""bb_ul""><li>Conquer over 60 levels and defeat six mini-game Boss Battles <br>					</li><li>Score explosive power-ups including three new shots<br>					</li><li>Explore new gameplay like lily-pad hopping, slide-aiming, and more<br>					</li><li>Take a shot at 70 all-new Challenges in the Jungle of Mystery, Quiet Village, Lost City and Mosquito Coast. <br>					</li><li>Run the Iron Frog gauntlet — beat 10 levels in a row!<br>					</li><li>Turn up the heat in Heroic Frog mode<br>					</li><li>Enjoy amazing graphics and effects that bring Zuma into the modern world of gaming<br>					</li></ul>","PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",$4.99,"Action, Casual","Single-player, Steam Achievements, Stats, Family Sharing","Sep 15, 2009","{'windows': True, 'mac': False, 'linux': False}",78.0,2609.0
3622,Zuma's Revenge! Demo,demo,True,,,"PopCap Games, Inc.",,Free,"Action, Casual","Single-player, Game demo","Sep 15, 2009","{'windows': True, 'mac': False, 'linux': False}",78.0,
3700,Sniper Elite,game,False,"As World War II draws to a close, the first covert battles of the Cold War begin. Caught in the life and death struggle between Soviets and Germans in war-torn Berlin, you control the fate of a lone American OSS Sniper.","As World War II draws to a close, the first covert battles of the Cold War begin. Caught in the life and death struggle between Soviets and Germans in war-torn Berlin, you control the fate of a lone American OSS Sniper. Disguised as a German and working deep behind enemy lines you must stop Stalin's forces from gaining control of Germany's nuclear secrets. Prepare to alter the course of history.<br><br><br>Authentic World War II sniper simulation featuring realistic weapons, bullet ballistics and sniping skills<br><br><ul class=""bb_ul""><li>Massive single player game with 28 heart-pounding missions<br></li><li>Intense 8-player LAN sniper battles including Deathmatch, Team Deathmatch and Assassination game modes<br></li><li>3rd person view for close quarter action and movement - 1st view person for sniping<br></li><li>Options to take account of gravity, wind, posture, heart-rate and breathing to execute the perfect shot<br></li><li>Multi-angle 'Bullet Cam' for kill confirmation<br></li><li>Non linear game play provides unique action each time a mission is played</li></ul>",Rebellion,Rebellion,$7.99,Action,"Single-player, Steam Trading Cards, Family Sharing","Jul 16, 2009","{'windows': True, 'mac': False, 'linux': False}",76.0,3301.0
3710,Judge Dredd: Dredd vs. Death,game,False,"Welcome to Mega-City One, a city of over 400 million people - every one of them a potential criminal. It is the third decade of the 22nd Century, unemployment is widespread, boredom is universal and only the Judges can prevent total anarchy. Empowered to dispense instant justice, they are Judge, Jury and Executioner all in one.","Welcome to Mega-City One, a city of over 400 million people - every one of them a potential criminal. It is the third decade of the 22nd Century, unemployment is widespread, boredom is universal and only the Judges can prevent total anarchy. Empowered to dispense instant justice, they are Judge, Jury and Executioner all in one. The most feared and respected of all the Judges is you, Judge Dredd.<br>Patrol the streets and mete out instant justice wherever it is needed. The Psi-Judges are predicting a terrible plague  is this the sudden outbreak of Vampires on the city, and are they the work of the malevolent Dark Judges?<br><ul class=""bb_ul""><li>JUDGE, JURY and EXECUTIONER it's your choice to shoot to kill, or disarm and arrest<br></li><li>Two-player co-operative LAN play throughout the entirety of the immersive storyline<br></li><li>Intense LAN action for up to 32 players<br></li><li>Customizable multiplayer games with enemy bots<br></li><li>Choose from over 60 characters for insane mayhem!</li></ul>",Rebellion,Rebellion,$7.99,Action,"Single-player, Multi-player, Co-op, Family Sharing","Mar 26, 2009","{'windows': True, 'mac': False, 'linux': False}",55.0,1040.0
3720,Evil Genius,game,False,"Everybody wants to rule the world! Achieve global power with EVIL GENIUS, the one and only complete world domination simulator. All the everyday tasks of the deliciously wicked mastermind are available to experience and master from building your ultra-secret base to developing spectacular super-weapons to carry out your nefarious master...","<p>Everybody wants to rule the world! Achieve global power with EVIL GENIUS, the one and only complete world domination simulator. All the everyday tasks of the deliciously wicked mastermind are available to experience and master from building your ultra-secret base to developing spectacular super-weapons to carry out your nefarious master plan. How evil are you?</p>
			<ul>
			<li>Choose from 3 notorious Evil Genius characters to serve as your icon and represent you in your quest for power.</li>
			<li>Create the ultimate doomsday device and use it to achieve total global domination.</li>
			<li>Create your lair with over 300 items including kung fu academies, rocket caverns, and laboratories.</li>
			<li>Use ingenious traps and wicked 'interrogation' devices to toy with and dispatch obnoxious overdressed government agents.</li>
			<li>Manage your minions as you train them in treacherous trades such as experimental research programs, heavy weapons usage, and international sabotage.</li>
			<li>Recruit dastardly henchmen to patrol your base, take out your enemies, and undertake outrageous missions to increase your power and notoriety.</li>
			</ul>",Elixir Studios,Rebellion,$9.99,Strategy,"Single-player, Family Sharing","Jun 22, 2009","{'windows': True, 'mac': False, 'linux': False}",75.0,2969.0
